country,city,neighbourhood_group_cleansed,neighbourhood_cleansed,id
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8386775
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8387901
Germany,Berlin,Mitte,Brunnenstr. Süd,8388270
Germany,Berlin,Neukölln,Schillerpromenade,8393759
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8394783
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8395094
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8395897
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,8396454
Germany,Berlin,Pankow,Helmholtzplatz,8397222
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8397693
Germany,Berlin,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,8399246
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Süd,8401194
Germany,Berlin,Lichtenberg,Alt-Lichtenberg,8405256
Germany,Berlin,Pankow,Prenzlauer Berg Nord,8405757
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8412356
Germany,Berlin,Charlottenburg-Wilm.,Barstraße,8414211
Germany,Berlin,Charlottenburg-Wilm.,Barstraße,8414783
Germany,Berlin,Mitte,Brunnenstr. Süd,8415199
Germany,Berlin,Mitte,Wedding Zentrum,8415865
Germany,Berlin,Charlottenburg-Wilm.,Mierendorffplatz,8419113
Germany,Berlin,Pankow,Helmholtzplatz,8420271
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8420919
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8421074
Germany,Berlin,Mitte,Parkviertel,8421878
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8423807
Germany,Berlin,Lichtenberg,Neu Lichtenberg,8426119
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8426590
Germany,Berlin,Neukölln,Reuterstraße,8426997
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8433730
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8434395
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8435827
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8437693
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Süd,8439923
Germany,Berlin,Charlottenburg-Wilm.,Schloß Charlottenburg,8442227
Germany,Berlin,Mitte,Alexanderplatz,8442867
Germany,Berlin,Mitte,Alexanderplatz,8448439
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8448939
Germany,Berlin,Mitte,Wedding Zentrum,8450181
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,8450482
Germany,Berlin,Pankow,Helmholtzplatz,8450995
Germany,Berlin,Neukölln,Rixdorf,8453370
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8453763
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8455942
Germany,Berlin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,8457400
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8462220
Germany,Berlin,Mitte,Wedding Zentrum,8466037
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8466794
Germany,Berlin,Treptow - Köpenick,Adlershof,8468463
Germany,Berlin,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,8468968
Germany,Berlin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,8469891
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8472885
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8475065
Germany,Berlin,Steglitz - Zehlendorf,Zehlendorf  Nord,8479134
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8480119
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8481531
Germany,Berlin,Neukölln,Reuterstraße,8482101
Germany,Berlin,Pankow,Prenzlauer Berg Nord,8482224
Germany,Berlin,Charlottenburg-Wilm.,Neue Kantstraße,8484404
Germany,Berlin,Neukölln,Reuterstraße,8490749
Germany,Berlin,Charlottenburg-Wilm.,Heerstrasse,8493232
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8494861
Germany,Berlin,Treptow - Köpenick,Altstadt-Kietz,8495375
Germany,Berlin,Mitte,Regierungsviertel,8495779
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8500483
Germany,Berlin,Lichtenberg,Neu Lichtenberg,8501033
Germany,Berlin,Charlottenburg-Wilm.,Barstraße,8501050
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Süd,8501499
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8501520
Germany,Berlin,Charlottenburg-Wilm.,Volkspark Wilmersdorf,8501615
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8503313
Germany,Berlin,Mitte,Brunnenstr. Süd,8503821
Germany,Berlin,Neukölln,Schillerpromenade,8503975
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8506462
Germany,Berlin,Neukölln,Reuterstraße,8511524
Germany,Berlin,Mitte,Moabit Ost,8513041
